timePeriod,currentTemperature,currentHumidity,currentCO2,currentLight,currentNoise,maxTemp,minTemp,meanTemp,maxHumidity,minHumidity,meanHumidity,maxCO2,minCO2,meanCO2,maxLight,minLight,meanLight,maxNoise,minNoise,meanNoise,rating
2029-07-31 03:48:00 to 2029-07-31 04:18:00,18,53,541,530,66,19,18,18.05,57,53,54.58,632,440,524.37,537,518,528.42,74,54,66.74,2
2029-07-31 05:59:00 to 2029-07-31 06:29:00,20,37,947,257,31,20,19,19.17,40,34,36.57,1097,767,883.57,268,251,259.6,49,30,37.57,3
2029-08-02 11:37:00 to 2029-08-02 12:07:00,26,56,1260,465,44,26,23,24.74,63,47,54.29,1700,895,1233.45,473,454,462.81,47,30,38.84,1
2029-08-02 16:32:00 to 2029-08-02 17:02:00,20,59,589,276,61,20,20,20.0,59,59,59.0,592,585,588.67,287,273,278.67,61,59,59.67,4
2029-08-02 20:55:00 to 2029-08-02 21:25:00,19,49,651,247,51,20,19,19.08,49,44,46.54,802,472,573.27,256,236,248.42,54,34,45.08,3
2029-08-05 00:03:00 to 2029-08-05 00:33:00,26,45,1127,357,34,26,25,25.32,45,37,40.35,1127,780,900.13,363,344,354.48,49,30,39.55,3
2029-08-07 06:41:00 to 2029-08-07 07:11:00,24,42,632,425,63,24,24,24.0,44,42,43.17,650,522,579.25,435,421,427.08,71,55,62.17,4
2029-08-07 08:56:00 to 2029-08-07 09:26:00,24,53,741,698,54,25,24,24.11,56,50,52.59,741,407,521.89,718,698,710.15,60,41,50.52,4
2029-08-09 10:45:00 to 2029-08-09 11:15:00,22,51,792,801,31,22,22,22.0,52,49,50.5,864,720,784.12,804,786,794.0,45,25,31.88,5
2029-08-09 19:25:00 to 2029-08-09 19:55:00,21,52,1034,368,79,22,19,20.58,65,52,58.74,1428,788,1056.87,379,359,368.52,80,61,71.9,1
2029-08-09 21:43:00 to 2029-08-09 22:13:00,25,51,815,438,34,29,25,26.84,70,51,61.1,1636,771,1167.97,439,419,428.35,53,33,42.0,4
2029-08-10 22:57:00 to 2029-08-10 23:27:00,19,62,844,510,48,20,19,19.14,62,55,57.89,845,505,611.5,510,491,502.0,57,37,47.36,3
2029-08-13 09:40:00 to 2029-08-13 10:10:00,18,39,786,302,33,18,18,18.0,39,37,38.0,826,739,773.09,321,302,310.0,45,26,36.36,4
2029-08-15 20:08:00 to 2029-08-15 20:38:00,24,63,1026,652,49,24,23,23.39,63,55,58.87,1028,602,785.16,663,645,652.45,67,48,56.71,3
2029-08-16 03:46:00 to 2029-08-16 04:16:00,24,41,619,680,48,24,20,21.94,57,38,47.1,1534,577,915.58,696,677,685.71,62,43,50.19,5
2029-08-17 09:39:00 to 2029-08-17 10:09:00,24,42,878,665,55,24,24,24.0,42,41,41.1,881,799,839.7,670,654,662.5,73,55,67.6,3
2029-08-17 16:55:00 to 2029-08-17 17:25:00,24,37,885,230,74,25,24,24.23,42,37,38.5,914,578,699.77,235,215,224.85,78,59,69.12,3
2029-08-18 20:30:00 to 2029-08-18 21:00:00,27,47,784,404,61,27,24,25.71,56,42,49.32,1186,597,854.48,413,394,404.19,74,56,64.77,1
2029-08-20 04:27:00 to 2029-08-20 04:57:00,24,67,1108,553,41,24,20,21.71,67,53,59.55,1135,521,816.84,558,539,547.16,56,37,45.94,4
2029-08-21 15:32:00 to 2029-08-21 16:02:00,26,52,616,295,45,26,26,26.0,52,52,52.0,616,607,611.67,295,291,293.67,45,42,43.0,5
2029-08-22 20:36:00 to 2029-08-22 21:06:00,22,53,502,304,57,22,22,22.0,53,53,53.0,529,455,482.43,323,304,310.29,60,42,51.86,5
2029-08-25 05:43:00 to 2029-08-25 06:13:00,23,37,844,613,48,24,23,23.14,40,37,38.14,913,794,840.93,616,596,607.14,59,45,51.79,4
2029-08-26 15:40:00 to 2029-08-26 16:10:00,23,49,514,706,71,23,23,23.0,49,48,48.64,574,474,518.0,719,701,708.18,75,59,67.45,4
2029-08-29 03:52:00 to 2029-08-29 04:22:00,27,39,1393,677,60,27,22,24.19,52,37,44.84,1653,827,1228.84,685,665,673.03,63,45,53.65,2
2029-08-29 09:30:00 to 2029-08-29 10:00:00,22,59,690,247,55,22,22,22.0,59,59,59.0,690,690,690.0,247,247,247.0,55,55,55.0,5
2029-08-31 13:49:00 to 2029-08-31 14:19:00,23,59,529,449,30,24,23,23.1,60,57,58.4,697,490,570.35,461,442,451.2,47,27,36.55,4
2029-09-02 20:50:00 to 2029-09-02 21:20:00,21,53,968,589,55,21,20,20.24,56,51,52.86,1000,740,837.05,591,571,581.67,72,53,62.38,4
2029-09-05 06:41:00 to 2029-09-05 07:11:00,18,42,751,275,37,18,18,18.0,43,41,41.5,812,724,765.33,287,268,279.33,55,36,45.5,4
2029-09-06 11:34:00 to 2029-09-06 12:04:00,21,54,639,429,70,21,21,21.0,54,54,54.0,639,580,603.6,429,418,423.6,70,54,61.2,2
2029-09-07 13:43:00 to 2029-09-07 14:13:00,19,60,539,240,60,19,19,19.0,60,57,58.21,614,461,517.93,240,220,230.5,73,54,63.0,3
2029-09-09 23:11:00 to 2029-09-09 23:41:00,24,41,1213,594,38,24,21,22.26,45,37,40.16,1213,783,958.32,600,580,592.03,50,31,38.65,3
2029-09-11 07:09:00 to 2029-09-11 07:39:00,22,39,873,387,42,23,21,22.23,47,38,42.71,1242,728,877.65,402,382,390.42,53,34,43.81,4
2029-09-13 16:31:00 to 2029-09-13 17:01:00,21,48,582,570,67,21,21,21.0,48,48,48.0,582,570,576.0,573,570,571.5,67,54,60.5,4
2029-09-14 04:41:00 to 2029-09-14 05:11:00,19,44,589,431,46,19,18,18.08,46,44,45.25,589,438,499.42,434,419,427.75,53,35,45.33,5
2029-09-16 08:48:00 to 2029-09-16 09:18:00,22,56,969,491,48,23,22,22.05,61,56,58.42,969,741,822.47,491,474,481.58,55,36,46.79,3
2029-09-16 18:57:00 to 2029-09-16 19:27:00,25,58,840,781,55,25,24,24.21,62,56,58.68,840,476,597.25,781,763,771.93,58,41,50.25,3
2029-09-17 20:36:00 to 2029-09-17 21:06:00,26,42,677,228,44,26,26,26.0,42,41,41.29,677,605,635.14,237,222,230.14,56,38,47.71,4
2029-09-19 00:52:00 to 2029-09-19 01:22:00,23,41,811,730,40,24,23,23.09,41,36,37.57,979,712,802.74,739,719,728.65,58,40,49.78,4
2029-09-19 07:30:00 to 2029-09-19 08:00:00,26,38,597,340,48,26,26,26.0,38,38,38.0,597,597,597.0,340,340,340.0,48,48,48.0,4
2029-09-21 18:42:00 to 2029-09-21 19:12:00,20,45,1239,774,43,24,20,21.61,48,33,40.32,1515,795,1121.39,786,767,777.42,58,40,47.94,4
2029-09-22 20:30:00 to 2029-09-22 21:00:00,25,47,475,790,61,25,25,25.0,47,47,47.0,475,475,475.0,790,790,790.0,61,61,61.0,3
2029-09-23 23:48:00 to 2029-09-24 00:18:00,22,48,940,515,63,22,22,22.0,50,47,48.68,940,734,799.89,525,506,515.58,73,54,64.95,2
2029-09-26 10:48:00 to 2029-09-26 11:18:00,26,62,1606,337,36,27,22,23.9,73,54,61.81,1784,858,1336.03,343,324,333.45,50,31,39.97,1
2029-09-28 13:00:00 to 2029-09-28 13:30:00,23,41,1076,426,72,23,22,22.23,45,39,41.84,1076,693,833.32,432,412,421.97,76,56,66.55,1
2029-09-30 22:42:00 to 2029-09-30 23:12:00,22,40,740,552,47,22,22,22.0,42,40,40.23,740,588,649.69,565,546,557.46,59,39,50.46,5
2029-10-03 00:54:00 to 2029-10-03 01:24:00,26,55,617,687,56,27,26,26.12,58,51,53.76,725,466,588.72,704,684,693.68,59,41,51.44,4
2029-10-04 03:31:00 to 2029-10-04 04:01:00,24,49,620,616,55,24,24,24.0,49,49,49.0,620,607,613.5,620,616,618.0,59,55,57.0,5
2029-10-06 08:35:00 to 2029-10-06 09:05:00,18,46,461,241,59,18,18,18.0,47,46,46.33,464,429,447.83,241,228,235.33,64,56,58.67,2
2029-10-08 11:55:00 to 2029-10-08 12:25:00,21,58,856,389,63,22,21,21.19,59,54,55.85,1000,750,839.31,395,375,385.92,67,49,58.58,1
2029-10-09 19:02:00 to 2029-10-09 19:32:00,23,40,783,772,62,23,22,22.45,44,35,38.77,1074,650,777.42,781,762,771.77,72,52,60.94,2
2029-10-11 01:32:00 to 2029-10-11 02:02:00,26,49,851,722,52,29,25,26.94,49,36,42.58,1352,618,894.77,738,719,729.81,56,36,46.45,2
2029-10-12 13:56:00 to 2029-10-12 14:26:00,28,46,1753,420,39,28,23,25.23,51,28,39.13,1783,864,1358.61,434,414,424.52,52,34,41.58,1
2029-10-14 21:11:00 to 2029-10-14 21:41:00,26,41,1260,428,54,26,23,24.52,50,41,46.68,1281,789,995.94,434,414,424.13,71,51,61.55,2
2029-10-16 22:44:00 to 2029-10-16 23:14:00,22,55,807,382,56,22,22,22.0,55,53,53.67,807,617,683.0,396,377,385.67,70,52,60.2,4
2029-10-18 00:06:00 to 2029-10-18 00:36:00,24,46,842,736,46,24,22,22.29,51,45,47.94,842,458,587.1,748,728,737.52,57,37,45.97,5
2029-10-19 12:02:00 to 2029-10-19 12:32:00,22,48,1096,589,68,22,19,20.29,48,41,43.81,1126,682,853.9,600,580,590.58,72,53,63.81,2
2029-10-20 17:31:00 to 2029-10-20 18:01:00,26,39,642,268,69,26,26,26.0,39,39,39.0,642,638,640.0,269,268,268.5,69,65,67.0,3
2029-10-21 22:33:00 to 2029-10-21 23:03:00,24,38,677,702,48,24,24,24.0,38,38,38.0,677,644,656.75,706,701,703.75,58,48,51.0,5
2029-10-23 23:41:00 to 2029-10-24 00:11:00,25,58,553,589,42,25,25,25.0,58,55,56.33,620,512,554.83,596,576,584.42,49,30,39.17,5
2029-10-25 05:22:00 to 2029-10-25 05:52:00,25,54,957,583,65,26,23,24.23,56,44,49.42,1296,701,938.0,600,580,587.55,73,53,66.29,3
2029-10-26 10:56:00 to 2029-10-26 11:26:00,26,53,784,596,28,26,25,25.15,58,53,55.26,963,711,803.93,611,593,601.74,45,28,36.26,3
2029-10-27 16:43:00 to 2029-10-27 17:13:00,19,56,782,431,42,23,19,21.1,65,48,56.45,1281,567,874.35,446,426,435.65,50,32,41.06,4
2029-10-29 23:33:00 to 2029-10-30 00:03:00,18,57,577,567,63,18,18,18.0,57,56,56.25,577,568,572.0,567,561,564.75,63,53,58.0,2
2029-10-30 01:54:00 to 2029-10-30 02:24:00,27,49,725,607,67,27,26,26.12,49,43,45.8,907,593,697.56,615,600,607.32,79,59,69.04,3
2029-11-01 11:35:00 to 2029-11-01 12:05:00,18,47,556,242,71,18,18,18.0,48,47,47.17,590,533,557.67,257,242,249.83,71,54,62.33,3
2029-11-04 00:09:00 to 2029-11-04 00:39:00,25,57,689,661,33,27,24,25.26,62,55,57.81,1052,623,794.06,671,653,662.52,52,32,41.65,5
2029-11-06 09:30:00 to 2029-11-06 10:00:00,21,47,695,376,45,21,21,21.0,47,47,47.0,695,695,695.0,376,376,376.0,45,45,45.0,4
2029-11-07 15:48:00 to 2029-11-07 16:18:00,18,45,726,374,33,19,18,18.11,45,42,43.58,803,550,644.84,385,368,376.84,52,33,40.89,4
2029-11-10 00:45:00 to 2029-11-10 01:15:00,22,42,927,643,31,23,22,22.12,43,40,41.5,934,742,805.44,662,643,652.56,46,27,35.06,5
2029-11-12 10:55:00 to 2029-11-12 11:25:00,26,52,680,763,57,26,25,25.19,55,50,52.19,803,445,561.62,767,747,756.85,74,54,63.23,3
2029-11-12 18:51:00 to 2029-11-12 19:21:00,21,49,931,240,30,21,20,20.23,54,49,50.36,931,667,777.5,250,231,240.05,45,26,36.82,5
2029-11-13 06:10:00 to 2029-11-13 06:40:00,26,52,1194,505,55,28,26,26.35,61,51,56.0,1227,708,895.26,524,505,515.39,60,40,49.03,1
2029-11-13 07:49:00 to 2029-11-13 08:19:00,27,60,668,458,39,28,24,26.03,60,40,51.1,1525,594,999.13,458,438,446.71,45,26,36.35,5
2029-11-14 18:34:00 to 2029-11-14 19:04:00,21,57,693,538,50,21,21,21.0,57,57,57.0,693,640,657.4,544,524,535.6,50,40,46.4,5
2029-11-17 03:59:00 to 2029-11-17 04:29:00,20,59,897,227,74,20,19,19.37,62,58,59.6,1105,695,824.2,241,224,234.27,80,60,70.7,2
2029-11-17 13:35:00 to 2029-11-17 14:05:00,22,38,763,476,37,22,22,22.0,38,38,38.0,800,744,768.83,492,476,482.67,44,33,39.0,3
2029-11-18 16:33:00 to 2029-11-18 17:03:00,20,59,746,453,58,20,20,20.0,59,59,59.0,746,728,738.75,473,453,459.0,58,41,52.75,5
2029-11-20 17:31:00 to 2029-11-20 18:01:00,19,46,653,281,80,19,19,19.0,46,46,46.0,653,650,651.5,284,281,282.5,80,64,72.0,1
2029-11-21 22:12:00 to 2029-11-21 22:42:00,20,52,791,758,64,22,19,20.42,52,46,48.39,1125,637,835.16,763,743,750.52,77,58,67.29,3
2029-11-24 02:44:00 to 2029-11-24 03:14:00,24,39,687,335,52,24,24,24.0,42,39,40.33,687,544,601.6,342,322,329.53,72,52,63.4,3
2029-11-25 10:42:00 to 2029-11-25 11:12:00,22,48,531,455,63,22,22,22.0,48,47,47.38,531,440,481.69,473,454,462.77,64,44,53.0,2
2029-11-27 12:19:00 to 2029-11-27 12:49:00,25,57,620,334,65,25,22,23.52,66,56,61.06,1234,577,827.45,347,327,336.68,70,50,59.87,2
2029-11-28 21:06:00 to 2029-11-28 21:36:00,24,54,976,246,50,25,23,24.32,55,48,51.42,1002,633,784.68,265,246,256.13,65,45,53.68,4
2029-11-29 03:33:00 to 2029-11-29 04:03:00,24,59,781,348,58,24,24,24.0,59,58,58.25,781,766,773.75,356,343,350.25,67,58,64.5,2
2029-12-01 09:34:00 to 2029-12-01 10:04:00,23,56,692,204,64,23,23,23.0,56,55,55.2,692,648,667.6,213,200,205.8,67,47,60.2,4
2029-12-02 21:43:00 to 2029-12-02 22:13:00,21,57,646,749,67,21,21,21.0,59,57,58.14,646,524,575.5,767,749,757.43,69,49,61.21,4
2029-12-04 23:00:00 to 2029-12-04 23:30:00,22,58,933,473,56,23,22,22.19,59,54,55.52,1005,643,792.94,484,467,474.06,74,54,63.52,3
2029-12-05 00:33:00 to 2029-12-05 01:03:00,25,52,1090,787,53,29,25,26.65,56,41,47.81,1351,604,931.19,787,767,778.52,73,53,63.42,1
2029-12-07 11:43:00 to 2029-12-07 12:13:00,18,53,681,699,37,19,18,18.07,54,52,53.21,696,543,612.5,716,699,707.29,56,37,46.71,3
2029-12-08 14:16:00 to 2029-12-08 14:46:00,23,51,1333,534,45,25,22,23.58,59,50,54.13,1333,821,1040.55,543,525,533.94,64,44,52.94,2
2029-12-08 16:38:00 to 2029-12-08 17:08:00,26,48,521,457,56,26,26,26.0,49,48,48.33,521,442,471.78,469,452,457.22,72,55,61.11,4
2029-12-11 04:29:00 to 2029-12-11 04:59:00,27,53,1401,240,59,28,25,26.55,56,40,47.13,1468,850,1106.0,256,236,245.58,61,47,54.29,1
2029-12-11 09:07:00 to 2029-12-11 09:37:00,23,58,753,464,48,24,22,22.39,61,53,57.29,910,447,621.19,467,447,459.48,54,34,43.9,5
2029-12-12 13:44:00 to 2029-12-12 14:14:00,18,56,586,721,42,19,18,18.07,56,52,53.4,587,408,466.8,723,708,717.47,46,30,38.67,4
2029-12-12 19:50:00 to 2029-12-12 20:20:00,21,61,849,436,68,21,20,20.14,63,58,59.67,922,719,804.81,446,426,436.19,78,58,69.95,1
2029-12-15 01:35:00 to 2029-12-15 02:05:00,26,45,529,718,49,26,26,26.0,45,44,44.17,529,468,493.0,724,716,719.83,62,46,52.5,4
2029-12-17 05:33:00 to 2029-12-17 06:03:00,24,48,481,228,30,24,24,24.0,48,48,48.0,490,466,476.25,231,216,222.75,34,27,31.0,5
2029-12-17 13:46:00 to 2029-12-17 14:16:00,18,50,587,323,57,18,18,18.0,50,46,47.47,686,534,587.76,342,323,332.41,73,55,66.12,4
2029-12-19 02:33:00 to 2029-12-19 03:03:00,25,49,688,334,49,26,22,23.94,50,35,43.13,1357,648,967.61,345,326,335.23,60,42,52.42,4
2029-12-20 08:39:00 to 2029-12-20 09:09:00,24,55,845,412,26,24,24,24.0,56,55,55.3,845,730,772.0,423,405,414.1,44,25,33.8,5
2029-12-22 10:09:00 to 2029-12-22 10:39:00,19,60,847,612,42,21,18,19.29,64,56,59.23,1215,783,951.58,619,600,608.58,55,36,46.19,5
2029-12-24 10:38:00 to 2029-12-24 11:08:00,20,48,728,690,47,20,20,20.0,48,48,48.0,764,675,711.11,690,676,683.89,49,33,41.89,4
2029-12-25 17:56:00 to 2029-12-25 18:26:00,24,40,743,359,31,25,24,24.22,40,33,35.37,988,616,721.44,359,340,351.37,46,27,36.26,4
2029-12-28 03:58:00 to 2029-12-28 04:28:00,23,39,657,494,31,23,22,22.24,40,33,35.79,943,588,721.83,503,485,492.86,49,29,38.62,5
2029-12-30 12:53:00 to 2029-12-30 13:23:00,21,44,925,348,65,21,20,20.08,47,42,43.67,927,629,737.38,362,344,353.0,66,47,56.83,2
2030-01-01 23:54:00 to 2030-01-02 00:24:00,21,52,691,721,58,22,21,21.16,55,50,51.56,830,631,715.32,729,711,719.68,72,54,62.68,5
2030-01-03 04:30:00 to 2030-01-03 05:00:00,26,39,642,603,63,26,26,26.0,39,39,39.0,642,642,642.0,603,603,603.0,63,63,63.0,2
2030-01-03 11:01:00 to 2030-01-03 11:31:00,19,44,971,530,38,20,19,19.26,50,43,45.55,971,604,739.9,535,515,526.03,45,25,33.35,2
2030-01-04 19:33:00 to 2030-01-04 20:03:00,24,56,1495,632,43,25,22,23.74,64,49,56.55,1645,869,1175.58,632,612,621.52,58,38,46.77,1
2030-01-05 06:34:00 to 2030-01-05 07:04:00,19,51,801,420,46,19,19,19.0,51,51,51.0,801,744,766.4,423,408,415.8,48,34,43.8,4
2030-01-05 18:41:00 to 2030-01-05 19:11:00,25,58,850,660,71,25,25,25.0,60,58,58.42,850,708,757.0,677,660,667.92,74,54,66.83,2
2030-01-07 07:51:00 to 2030-01-07 08:21:00,23,42,1166,605,54,27,23,24.97,54,33,40.87,1584,666,1053.13,605,588,596.65,61,41,48.71,3
2030-01-07 11:09:00 to 2030-01-07 11:39:00,21,43,1255,594,57,21,19,19.42,48,41,44.1,1255,725,882.68,605,585,594.74,57,38,49.52,2
2030-01-08 19:32:00 to 2030-01-08 20:02:00,26,44,736,631,75,26,26,26.0,44,44,44.0,736,708,719.33,631,627,628.33,75,68,72.67,1
2030-01-10 07:38:00 to 2030-01-10 08:08:00,24,51,539,644,56,24,24,24.0,52,51,51.33,543,489,517.89,652,635,643.33,70,53,59.78,3
2030-01-12 12:38:00 to 2030-01-12 13:08:00,23,57,485,345,59,23,23,23.0,57,56,56.22,544,452,485.89,361,345,349.56,66,56,60.67,3
2030-01-12 14:45:00 to 2030-01-12 15:15:00,21,47,636,234,50,21,21,21.0,50,46,47.31,655,496,560.19,243,223,234.31,62,42,52.31,5
2030-01-12 17:45:00 to 2030-01-12 18:15:00,18,50,624,668,71,18,18,18.0,53,50,51.31,680,484,547.5,668,652,659.31,78,58,67.81,3
2030-01-14 04:26:00 to 2030-01-14 04:56:00,22,49,1122,230,39,22,18,19.71,58,45,50.45,1205,622,868.55,245,225,233.94,48,30,39.35,4
2030-01-14 13:56:00 to 2030-01-14 14:26:00,25,50,915,242,46,26,25,25.19,56,50,52.7,1032,759,866.56,251,232,240.78,64,46,54.7,3
2030-01-16 02:03:00 to 2030-01-16 02:33:00,26,44,1027,474,54,26,24,24.32,44,36,38.94,1152,795,915.77,481,462,472.29,62,42,52.26,1
2030-01-16 13:46:00 to 2030-01-16 14:16:00,24,54,726,763,57,24,24,24.0,54,51,52.47,726,512,587.47,773,754,766.24,68,48,58.53,3
2030-01-17 20:31:00 to 2030-01-17 21:01:00,24,56,797,480,61,24,24,24.0,56,56,56.0,797,786,791.5,480,472,476.0,63,61,62.0,3
2030-01-19 23:41:00 to 2030-01-20 00:11:00,24,59,696,222,53,24,24,24.0,59,58,58.17,696,557,600.92,223,203,215.08,68,50,58.92,4
2030-01-22 10:33:00 to 2030-01-22 11:03:00,26,59,433,535,40,26,26,26.0,59,59,59.0,452,424,435.75,537,528,533.75,40,34,36.0,3
2030-01-23 12:07:00 to 2030-01-23 12:37:00,22,47,804,292,40,22,21,21.39,51,42,46.16,1076,641,779.9,299,279,288.71,52,32,41.58,3
2030-01-25 14:57:00 to 2030-01-25 15:27:00,26,37,554,439,59,27,26,26.11,39,33,35.68,750,417,523.04,456,438,447.68,64,44,54.82,4
2030-01-25 17:04:00 to 2030-01-25 17:34:00,21,64,768,313,73,23,21,22.16,64,55,57.48,1088,618,747.71,328,308,318.1,79,59,69.23,3
2030-01-27 02:44:00 to 2030-01-27 03:14:00,20,48,623,606,39,20,20,20.0,49,47,48.2,623,467,515.33,610,591,601.27,56,38,47.53,5
2030-01-29 03:32:00 to 2030-01-29 04:02:00,26,37,693,237,74,26,26,26.0,37,37,37.0,693,688,691.0,242,231,236.67,74,67,70.0,3
2030-01-30 10:31:00 to 2030-01-30 11:01:00,19,41,539,572,64,19,19,19.0,41,41,41.0,539,525,532.0,575,572,573.5,64,54,59.0,1
2030-01-31 14:39:00 to 2030-01-31 15:09:00,24,36,459,761,44,24,24,24.0,36,35,35.2,495,406,443.1,764,747,755.7,57,39,48.7,5
2030-02-01 00:41:00 to 2030-02-01 01:11:00,18,43,567,332,55,18,18,18.0,43,41,42.25,567,464,504.83,342,325,333.17,59,41,51.0,2
2030-02-03 10:04:00 to 2030-02-03 10:34:00,21,54,955,392,57,22,21,21.26,57,50,52.55,955,564,727.58,392,372,382.39,76,57,67.77,2
2030-02-04 16:37:00 to 2030-02-04 17:07:00,19,42,568,247,65,19,19,19.0,42,41,41.25,568,492,526.62,247,231,239.75,65,49,55.25,2
2030-02-06 05:35:00 to 2030-02-06 06:05:00,21,62,1296,641,36,23,19,20.81,70,53,60.48,1414,710,1012.29,646,626,637.74,47,28,36.77,3
2030-02-08 16:25:00 to 2030-02-08 16:55:00,19,34,1201,630,57,21,18,19.68,45,32,38.1,1201,504,800.68,648,629,637.0,67,48,55.52,1
2030-02-08 19:23:00 to 2030-02-08 19:53:00,20,39,660,536,59,22,19,20.52,50,37,41.65,1157,553,782.97,550,534,541.61,63,43,52.1,4
2030-02-11 00:33:00 to 2030-02-11 01:03:00,27,65,1201,426,33,28,24,25.9,71,54,62.13,1328,485,859.13,429,409,417.1,52,32,42.29,3
2030-02-11 02:08:00 to 2030-02-11 02:38:00,25,43,796,798,59,26,23,24.32,46,36,40.19,923,482,644.06,806,786,797.35,71,52,61.84,4
2030-02-12 03:52:00 to 2030-02-12 04:22:00,19,46,558,242,61,20,19,19.04,48,44,45.65,763,497,586.96,244,226,235.65,69,50,59.65,1
2030-02-12 13:56:00 to 2030-02-12 14:26:00,22,61,818,559,48,22,21,21.22,61,55,57.56,906,630,740.63,560,540,549.74,50,30,39.96,4
2030-02-12 20:49:00 to 2030-02-12 21:19:00,26,47,817,238,42,27,26,26.1,49,45,46.25,906,738,799.35,254,236,242.9,50,30,40.6,4
2030-02-14 07:43:00 to 2030-02-14 08:13:00,21,51,935,527,35,21,17,18.77,60,45,51.65,1648,862,1177.77,529,509,517.61,49,30,40.39,3
2030-02-16 15:35:00 to 2030-02-16 16:05:00,20,40,599,576,71,20,20,20.0,41,40,40.17,619,580,597.0,583,573,577.33,71,53,62.33,2
2030-02-19 04:34:00 to 2030-02-19 05:04:00,18,58,1117,544,41,21,17,18.68,60,46,52.81,1639,939,1211.23,563,543,553.39,60,41,51.03,1
2030-02-20 08:31:00 to 2030-02-20 09:01:00,23,55,706,705,69,23,23,23.0,55,55,55.0,706,697,701.5,707,705,706.0,69,66,67.5,4
2030-02-20 18:34:00 to 2030-02-20 19:04:00,20,51,617,279,64,20,20,20.0,51,51,51.0,617,558,584.4,281,268,276.2,75,62,67.2,3
2030-02-20 23:45:00 to 2030-02-21 00:15:00,24,43,684,314,44,24,24,24.0,43,39,40.56,807,629,698.25,315,295,306.56,44,26,36.62,4
2030-02-21 09:12:00 to 2030-02-21 09:42:00,21,37,1228,529,66,21,18,19.42,46,37,40.1,1268,797,993.45,545,527,534.81,78,58,68.19,2
2030-02-22 15:31:00 to 2030-02-22 16:01:00,22,46,731,471,49,22,22,22.0,46,46,46.0,731,725,728.0,474,471,472.5,59,49,54.0,5
2030-02-22 17:35:00 to 2030-02-22 18:05:00,22,36,626,629,38,22,22,22.0,36,35,35.17,626,567,595.83,643,628,633.83,46,33,40.0,4
2030-02-23 03:05:00 to 2030-02-23 03:35:00,22,45,1133,355,39,23,21,22.16,51,43,47.03,1133,712,828.45,374,355,362.77,55,35,44.55,3
2030-02-25 14:55:00 to 2030-02-25 15:25:00,23,58,897,602,54,24,23,23.15,61,57,58.65,897,553,663.15,621,601,610.31,56,36,46.54,3
2030-02-27 20:08:00 to 2030-02-27 20:38:00,19,51,786,517,39,20,19,19.48,51,41,45.19,982,611,757.35,535,517,525.23,56,36,45.1,3
2030-02-27 23:49:00 to 2030-02-28 00:19:00,24,48,774,334,44,24,24,24.0,50,46,47.4,803,575,663.05,344,325,333.65,55,35,45.0,3
2030-02-28 05:51:00 to 2030-02-28 06:21:00,28,61,1396,644,75,29,24,26.13,67,46,54.9,1727,816,1201.26,653,634,643.52,77,58,68.77,1
2030-02-28 07:24:00 to 2030-02-28 07:54:00,18,46,640,343,63,20,17,18.77,48,38,43.29,1241,562,793.58,344,324,333.97,73,55,64.26,1
2030-03-02 10:51:00 to 2030-03-02 11:21:00,21,51,875,215,47,22,21,21.23,52,48,49.73,934,636,728.5,223,204,215.23,59,40,50.45,3
2030-03-03 12:56:00 to 2030-03-03 13:26:00,25,41,912,446,58,26,25,25.07,46,41,42.63,943,638,755.93,460,441,452.19,67,49,55.74,3
2030-03-05 23:56:00 to 2030-03-06 00:26:00,19,50,756,407,42,20,19,19.15,50,44,46.33,812,506,616.93,416,396,405.59,59,39,47.33,3
2030-03-07 08:36:00 to 2030-03-07 09:06:00,25,44,552,380,55,25,25,25.0,44,44,44.0,552,473,500.14,395,379,386.43,64,47,55.57,3
2030-03-08 14:33:00 to 2030-03-08 15:03:00,24,59,500,217,30,24,24,24.0,59,59,59.0,515,485,498.0,229,217,221.25,34,26,30.25,5
2030-03-10 21:31:00 to 2030-03-10 22:01:00,23,58,439,253,59,23,23,23.0,58,58,58.0,439,431,435.0,253,252,252.5,62,59,60.5,4
2030-03-12 00:37:00 to 2030-03-12 01:07:00,24,50,529,368,34,24,24,24.0,50,49,49.12,587,511,535.0,373,361,366.62,47,29,38.75,4
2030-03-13 05:36:00 to 2030-03-13 06:06:00,21,47,651,423,38,21,21,21.0,48,47,47.29,699,636,653.43,423,410,416.0,50,38,45.29,4
2030-03-13 18:02:00 to 2030-03-13 18:32:00,26,49,807,564,62,26,25,25.23,51,44,47.32,807,451,600.16,568,549,559.68,74,54,65.16,2
2030-03-13 20:56:00 to 2030-03-13 21:26:00,18,51,546,599,39,19,18,18.26,54,49,51.59,786,485,607.15,617,597,607.07,51,32,41.0,5
2030-03-16 08:49:00 to 2030-03-16 09:19:00,21,44,534,369,55,21,20,20.15,44,40,42.35,739,477,576.5,381,365,373.5,56,37,46.55,5
2030-03-18 20:34:00 to 2030-03-18 21:04:00,19,41,613,493,32,19,19,19.0,41,41,41.0,637,599,612.4,505,493,498.4,46,32,35.8,5
2030-03-18 22:52:00 to 2030-03-18 23:22:00,22,48,1096,643,73,22,21,21.3,50,46,47.43,1096,771,868.74,648,628,638.83,73,53,62.17,2
2030-03-20 01:46:00 to 2030-03-20 02:16:00,19,41,960,702,46,19,18,18.06,41,38,39.29,1003,799,870.41,716,700,706.59,54,35,43.12,2
